Customer Id,degree_centrality,betweenness_centrality,closeness_centrality,community_id,is_fraud
1,4.81486831335163e-05,0.0,0.2133656706440549,5,0
2,0.0003370407819346,4.548685132445616e-07,0.2965718175998892,26,0
3,0.0004333381482016,7.830763168575537e-07,0.2976873738565674,9,0
4,0.000288892098801,2.3910767348075e-07,0.2914593117330991,1,0
5,0.0002407434156675,2.113170972105609e-07,0.2927208417673574,26,0
6,0.0003851894650681,6.005752291931059e-07,0.2974493191793531,26,0
7,0.0003370407819346,8.813088534799203e-07,0.2959818362646463,8,0
8,0.0003370407819346,4.219857861467845e-07,0.2960760754865725,3,0
9,0.0005296355144686,6.399524911092423e-06,0.2976873738565674,8,0
10,0.0002407434156675,4.920381396287991e-07,0.2914364754632775,3,0
11,0.0003851894650681,1.1218157597235198e-06,0.2971404167069668,1,0
12,0.0004814868313351,9.11120857079714e-07,0.2979258098788795,23,0
13,0.0004333381482016,1.0870875264954107e-06,0.2970217788339703,9,0
14,0.0004333381482016,8.15747043443766e-07,0.2977112002831608,3,0
15,0.0001444460494005,8.157783296857868e-08,0.2903218651528107,3,0
16,0.0003851894650681,6.078740170329599e-07,0.2975206955957296,26,1
17,0.0004333381482016,6.495141219243249e-07,0.2966900962222071,9,0
18,0.0003370407819346,4.457602269768865e-07,0.2966191177302879,7,0
19,0.0005296355144686,1.0810770129738382e-06,0.2979496744903725,3,0
20,0.000192594732534,1.2382435283610878e-07,0.2909349813326407,1,0
21,0.0004333381482016,9.098928258691744e-07,0.2967137632688107,7,0
22,0.0005296355144686,2.316671205915908e-06,0.2967847870691623,3,0
23,0.0005296355144686,1.0392294901836685e-06,0.2979496744903725,5,1
24,0.0003370407819346,4.3778833341271277e-07,0.2963827678356821,5,1
25,0.000192594732534,1.2786841752298204e-07,0.2911171430177515,5,0
26,0.0003370407819346,4.541095460842885e-07,0.2967611086913843,23,0
27,0.000288892098801,3.388934399753513e-07,0.294925764061038,5,1
28,0.0002407434156675,2.1461006284493186e-07,0.2943190169597888,5,0
29,0.000192594732534,1.3672706737281365e-07,0.2921001834724211,23,0
30,0.0003370407819346,1.1239893786856462e-06,0.2956524708956212,9,0
31,0.0003851894650681,5.562832590605235e-07,0.2969032356591484,3,1
32,0.0004814868313351,1.8665839562903829e-06,0.2972116449331051,8,0
33,0.000192594732534,1.403038889688496e-07,0.2918022857407869,1,0
34,0.0004814868313351,1.8891135946079664e-06,0.2973779770017438,5,0
35,0.0004333381482016,7.463710365297038e-07,0.2976873738565674,5,0
36,0.000192594732534,1.2794213608145345e-07,0.2885203022291197,9,0
37,0.000288892098801,3.341378028223307e-07,0.2961939589375546,7,0
38,0.0003851894650681,6.304851035244962e-07,0.2975682989070248,3,0
39,0.0005777841976021,2.8415212308574006e-06,0.2979974151848911,3,0
